date,time,DsWrocWybCon,LdLodzGdansk,MpKrakAlKras,MpZakopaSien,MzWarMarszal,PdBialWarsza,PkRzeszRejta,PmGdaWyzwo03,SlKatoKossut,WmOlsPuszkin,WpPoznPolank,ZpSzczLacz04
16/02/04,08:00,18.355,,35.7301,15.8587,20.8232,15.2,21.5788,11.7948,23.5266,5.71347,14.1794,12.3312
16/02/04,16:00,29.3187,17.752,39.2574,10.9138,21.8672,14.4,14.2572,6.23203,15.2807,6.77125,24.3134,6.07397
16/02/05,00:00,9.4412,26.628,33.9698,28.2237,29.8016,9.1,25.0231,9.17814,27.7366,10.6536,13.6393,12.004
16/02/05,08:00,21.8358,21.556,32.8384,9.1116,28.862,16.9,23.8332,15.7686,25.4247,10.7672,17.4986,8.33584
16/02/05,16:00,46.5603,19.02,91.431,13.0578,32.2028,17.2,17.7559,13.3906,30.3964,11.8168,17.1513,20.6563
16/02/06,00:00,32.803,53.256,123.414,31.301,40.5548,15.6,57.5886,24.9735,32.9486,26.0392,31.5683,20.1035
16/02/06,08:00,20.6926,39.308,115.169,23.213,45.7748,27.5,18.6789,9.67478,17.4885,37.7074,28.0,23.7994
16/02/06,16:00,26.0849,45.648,74.105,53.8969,45.8792,26.5,28.2845,7.38156,22.1949,47.6175,16.1,17.0818
16/02/07,00:00,33.7228,55.792,158.827,290.727,50.3684,31.0,24.8726,15.5297,93.8405,50.8158,24.4,17.402
16/02/07,08:00,36.2798,39.308,43.9095,10.3206,38.8844,28.4,15.6602,22.9683,76.5548,45.0539,24.6,18.7557
16/02/07,16:00,29.8031,48.184,50.1892,8.70217,59.7644,18.6,19.6572,13.7887,14.9532,34.9799,16.8181,14.3873
16/02/08,00:00,24.0046,43.112,72.671,6.60467,30.3236,25.0,21.3004,32.8825,13.2076,31.5518,37.2217,24.1338
16/02/08,08:00,31.9933,20.288,154.76,24.5906,32.9336,18.0,24.699,23.5454,27.5094,45.3879,29.4739,15.5309
16/02/08,16:00,50.936,30.432,67.9459,3.0,44.2088,31.0,32.1687,9.23031,19.7307,20.8833,14.2064,10.4321
16/02/09,00:00,17.5535,26.628,25.7014,3.03373,27.0872,23.8,21.7679,10.6935,22.0879,26.8332,16.7719,5.83937
16/02/09,08:00,25.9687,12.68,85.2524,3.0,20.1968,16.4,20.2579,13.5849,8.31108,5.64806,11.0217,14.7821
16/02/09,16:00,41.6475,30.432,36.0439,11.557,27.6092,6.1,17.51,10.8012,12.0521,19.1417,39.9219,19.551
16/02/10,00:00,19.3762,22.824,25.4241,7.92496,38.4668,15.7,16.7496,1.11792,11.2316,18.6089,12.6644,15.7046
16/02/10,08:00,22.9447,24.092,71.6543,3.0,16.5428,17.5,27.2335,11.3828,17.3176,17.7015,10.1,3.70052
16/02/10,16:00,33.0669,21.556,19.2085,13.6439,18.0044,22.5,12.2243,4.44822,27.6895,7.00472,35.6769,21.97
16/02/11,00:00,31.0558,32.968,43.5657,3.0,15.6032,23.2,10.031,47.4395,38.3295,11.8294,175.51,16.0271
16/02/11,08:00,19.4647,13.948,24.2095,21.527,33.8732,6.1,22.1883,14.2027,22.0,19.0728,30.2394,13.3974
16/02/11,16:00,36.2908,17.752,20.2043,14.9268,37.1096,10.7,15.1458,10.0302,15.9506,36.6937,17.1683,14.7746
16/02/12,00:00,33.681,15.216,51.156,79.485,33.4556,26.7,19.2268,10.5343,15.5004,,12.6,12.5218
16/02/12,08:00,39.1112,24.092,50.3819,112.625,34.082,21.8,15.3529,4.81894,31.5131,,20.7378,12.4341
16/02/12,16:00,30.5324,22.824,80.3787,9.15109,33.038,26.9,24.7806,11.1869,22.1989,32.4492,39.0478,16.1077
16/02/13,00:00,66.4243,,58.7988,41.6612,20.8232,54.1,15.1691,28.5378,33.4684,39.6986,80.9619,42.31
16/02/13,08:00,69.43,,41.7118,23.3833,32.3072,21.2,11.9846,18.9551,47.1205,45.539,80.0675,34.4738
16/02/13,16:00,60.1788,,70.679,38.1785,49.5332,17.4,40.5535,16.5471,38.9324,34.6919,53.6836,45.0904
16/02/14,00:00,76.0008,,124.759,76.061,46.2968,15.5,46.6053,11.9831,115.748,31.4804,69.3089,37.1207
