date,time,DsWrocWybCon,LdLodzGdansk,MpKrakBujaka,MpKrakBulwar,MpZakopaSien,MzWarKondrat,MzWarWokalna,PdBialWaszyn,PkRzeszRejta,PmGdaWyzwo03,SlKatoKossut,WmOlsPuszkin,WpPoznPolank,ZpSzczPils02
160221,16:00,1.91296,6.3,5.95803,8.03537,11.8845,29.1,4.978139,5.6,4.0709,3.07176,9.13705,2.54389,1.43136,4.86115
160222,00:00,3.11645,3.5,5.65931,6.56719,7.1291,,3.479316,3.9,1.81781,3.81766,10.9599,3.64468,0.78127,4.48062
160222,08:00,2.3528,3.4,4.54716,12.4923,7.6055,,4.580494,6.4,1.56967,2.5758,11.0389,2.9865,0.87593,2.61049
160222,16:00,1.65099,7.3,2.88344,7.37776,4.1818,4.9,4.581672,5.3,6.89731,2.6865,10.0144,2.44367,0.52764,4.94982
160223,00:00,0.67083,5.8,4.96756,9.22719,1.46865,3.4,2.48285,2.0,9.3674,1.64093,17.632,2.83708,0.39519,3.10259
160223,08:00,1.15496,2.8,4.47839,6.04332,1.37539,2.0,2.784028,1.6,8.97423,1.84119,13.3438,2.48032,0.45203,2.13169
160223,16:00,1.84199,,6.16121,4.81012,0.9552,2.3,3.385206,1.6,0.3285,2.6135,22.0526,2.69688,0.58464,3.39815
160224,00:00,5.1332,6.0,7.05827,4.92021,4.46577,3.3,4.386383,3.0,5.2469,1.64836,18.1239,3.31133,0.13885,2.88906
160224,08:00,1.46255,3.2,7.69871,6.73049,7.1539,2.5,2.587561,2.7,1.19218,1.14026,17.2429,2.1713,0.8657,1.96692
160224,16:00,1.95328,5.7,9.1577,10.6518,2.787,2.5,2.988739,2.8,0.77705,2.01994,15.0201,2.24385,0.55418,3.34864
160225,00:00,2.68477,8.9,7.24174,5.36428,16.1963,3.1,4.189917,2.0,11.5098,1.50751,8.53491,2.91244,1.16421,2.43759
