time,PdBialWaszynCO1g,PdHajnowkJagMOBCO1g,PkNiskoSzklaCO1g,PkRzeszRejtaCO1g,PmGdaLeczk08CO1g,PmGdaOstrz05CO1g,PmGdaPoWie01CO1g,PmGdaWyzwo03CO1g,PmGdyPoreb04CO1g,PmKosTargo12CO1g,PmLebMalcz16CO1g,PmLinieKos17CO1g,PmMalMicki15CO1g,PmSlupKniaziCO1g,PmSopBitPl06CO1g,PmStaGdaLubiCO1g,PmTczeTarg07CO1g,WmElbBazynskCO1g,WmGoldJacwieCO1g,WmOlsPuszkinCO1g,WmOstrChrobrCO1g,ZpSzczPils02CO1g
1/17/16 18:00,0.725,,1.06041,0.45903,0.575745,0.489331,,0.303165,0.51904,0.748053,1.54955,0.319812,1.19614,1.61252,0.402601,1.216,0.270824,0.336229,0.509784,0.53322,0.82406,0.80613
1/18/16 0:00,0.574,,0.83603,0.79047,0.549784,0.474288,,0.423004,0.362339,1.05078,2.4384,0.749718,1.06958,1.08044,0.415749,0.768,0.373761,0.658131,0.521558,0.50239,0.797607,0.3414
1/18/16 6:00,0.567,,0.61371,0.66641,0.423291,0.19613,,0.371453,0.333393,0.542016,1.03066,0.356907,0.814852,0.487499,0.3292,0.656,0.283215,0.770597,0.200829,0.711299,1.45828,0.38995
1/18/16 12:00,0.522,,0.48311,0.41247,0.491275,0.258925,0.52259,0.540943,0.492527,0.651662,0.919553,0.417578,,0.435632,0.417324,0.343,0.283118,0.547245,0.467543,0.496214,0.815055,0.44912
1/18/16 18:00,0.843,,0.82649,0.5173,0.774504,0.658318,1.16756,0.495635,0.655064,0.927334,1.25127,0.279172,,0.589458,0.529123,0.897,0.57845,0.679141,0.595082,1.1152,0.937347,0.65608
1/19/16 0:00,0.734,,2.90364,1.9931,0.41765,0.199507,0.425837,0.389892,0.597193,1.2161,1.10223,0.5965,,0.536815,0.424832,0.571,0.368486,0.471775,0.439074,0.407611,0.775942,0.4596
1/19/16 6:00,0.511,,1.33551,1.1341,0.440066,0.135267,0.367156,0.482238,0.379475,0.453331,0.328239,0.399346,,0.448858,0.28765,0.431,0.433443,0.488765,0.326605,0.444614,1.04248,0.36393
1/19/16 12:00,0.423,,0.73817,0.59014,0.419552,0.320355,0.333323,0.440487,0.43348,0.640178,0.615643,0.354946,,0.482991,0.364238,0.377,0.339271,0.347557,0.289481,0.492954,0.796354,0.43853
1/19/16 18:00,0.498,,1.24625,0.70549,0.419389,0.139215,0.323355,0.374408,0.466317,0.779977,0.714135,0.378302,,0.518134,0.385498,0.642,0.391531,0.550365,0.403155,0.562355,0.897373,0.52577
1/20/16 0:00,0.45,,1.31687,0.49213,0.405342,0.149673,0.317615,0.394297,0.530407,0.922931,0.444013,0.411087,,0.462757,0.404412,0.472,0.43149,0.361403,0.286814,0.481837,0.746189,0.45619
