date,time,DsWrocWybCon,LdLodzGdansk,MpKrakAlKras,MpZakopaSien,MzWarMarszal,PdBialWaszyn,PkRzeszRejta,PmGdaWyzwo03,SlKatoPlebA4,WmOlsPuszkin,WpPoznPolank,ZpSzczPils02
160206,08:00,0.419277,0.503,1.22613,0.78208,0.491,0.434,0.5418,0.396895,0.53534,0.398133,0.43027,0.26212
160206,16:00,0.338249,0.736,0.96641,0.90235,0.867,0.44,0.50533,0.434041,0.2995,0.48531,0.37333,0.34097
160207,00:00,0.422975,0.7,2.52929,3.93694,0.811,0.453,0.37442,0.508769,0.77419,0.578813,0.41281,0.38322
160207,08:00,0.518136,0.515,0.74826,0.45362,0.573,0.446,0.30537,0.460578,1.01129,0.495001,0.44518,0.26532
160207,16:00,0.361753,0.639,0.70787,0.44854,0.812,0.362,0.34161,0.414182,0.34903,0.455325,0.40103,0.38279
160208,00:00,0.336734,0.548,1.2856,0.45051,0.564,0.384,0.31065,0.661871,0.34427,0.42055,0.54127,0.26752
160208,08:00,0.412469,0.715,2.11479,0.75497,0.666,0.456,0.62222,0.500729,0.77547,0.611113,0.4151,0.2269
160208,16:00,0.313304,0.574,0.72245,0.50109,0.639,0.471,0.42572,,0.47738,0.363479,0.3188,0.29931
160209,00:00,0.22736,0.525,0.41875,0.52731,0.546,0.41,0.31399,,0.34681,0.38142,0.35761,0.17283
160209,08:00,0.255852,0.382,0.77878,0.41847,0.409,0.547,0.53404,,0.46855,0.296039,0.30243,0.16461
160209,16:00,0.36185,0.651,0.6213,0.45883,0.447,0.434,0.35499,0.275522,0.64453,0.310501,0.40369,0.28515
160210,00:00,0.294467,0.548,0.30942,0.42205,0.593,0.399,0.26588,0.344042,0.16581,0.327868,0.38594,0.20713
160210,08:00,0.262578,0.734,1.02755,0.55883,0.405,0.424,0.45506,0.297213,0.24735,0.463589,0.21241,0.15427
160210,16:00,0.331969,0.401,0.95392,0.75933,0.461,0.51,0.3876,0.269738,0.54848,0.246262,0.2504,0.37212
